Rinkeby-Kista,46792,Rinkeby-Kista
Spånga-Tensta,38115,Sp%C3%A5nga-Tensta
Hässelby-Vällingby,66721,H%C3%A4sselby-V%C3%A4llingby
Bromma,67096,Bromma
Kungsholmen,63120,Kungsholmen_(borough)
Norrmalm,67687,Norrmalm_(borough)
Östermalm,66521,%C3%96stermalm_(borough)
Södermalm,123468,S%C3%B6dermalm_(borough)
Enskede-Årsta-Vantör,92071,Enskede-%C3%85rsta-Vant%C3%B6r
Skarpnäck,43961,Skarpn%C3%A4ck_(borough)
Farsta,51987,Farsta_(borough)
Älvsjö,25660,%C3%84lvsj%C3%B6_(borough)
Hägersten-Liljeholmen,76710,H%C3%A4gersten-Liljeholmen
Skärholmen,34415,Sk%C3%A4rholmen_(borough)
